latitude,longitude,area_in_meters,confidence,zone_id
-33.50812589,-70.75236786,139.0497,0.8905,Z3
-33.50184666,-70.77512904,55.791,0.6871,Z3
-33.47526097,-70.75376327,23.1087,0.8237,Z5
-33.47889775,-70.73661008,80.8005,0.8293,Z5
-33.48324458,-70.76780292,15.8149,0.6506,Z3
-33.39345978,-70.52150623,349.5108,0.8875,Z2
-33.52151424,-70.76615794,122.8838,0.9085,Z3
-33.4577037,-70.65498191,131.4007,0.826,Z4
-33.4061991,-70.53512663,192.5541,0.8427,Z2
-33.43867867,-70.77237765,156.5801,0.7899,Z5
-33.4376374,-70.6616543,52.4157,0.7059,Z4
-33.44868128,-70.61091503,78.2858,0.7047,Z1
-33.41083703,-70.52549768,32.3517,0.6826,Z2
-33.44386944,-70.7216673,72.2053,0.8676,Z5
-33.39970875,-70.54420616,10.5307,0.7171,Z2
-33.52257124,-70.79237781,11.7478,0.7422,Z3
-33.51392375,-70.79644328,335.7798,0.844,Z3
-33.43412989,-70.63245887,135.2552,0.7911,Z4
-33.45730629,-70.65075002,133.15,0.7885,Z4
-33.43648688,-70.60661178,18.7223,0.7111,Z1
-33.54218995,-70.77710676,111.5267,0.8526,Z3
-33.42209057,-70.75508478,11.6135,0.7824,Z5
-33.44598839,-70.65514818,27.1213,0.7884,Z4
-33.42894807,-70.72889182,48.378,0.822,Z5
-33.5335121,-70.78501382,79.1893,0.8196,Z3
-33.43639789,-70.6712863,109.4206,0.858,Z4
-33.45568404,-70.64650414,11.873,0.7032,Z4
-33.53135493,-70.7941164,87.8681,0.8896,Z3
-33.429592,-70.76948369,13.5514,0.7383,Z5
-33.52674335,-70.79527191,117.8537,0.8234,Z3
-33.39380044,-70.54093466,112.7955,0.7678,Z2
-33.48567731,-70.76334308,36.0612,0.7288,Z3
-33.47263629,-70.73988785,29.0095,0.6593,Z5
-33.52375495,-70.77417642,18.8918,0.6551,Z3
-33.43283359,-70.77122034,32.7801,0.7212,Z5
-33.39009198,-70.50171769,146.603,0.8905,Z2
-33.40606201,-70.52578794,303.1448,0.7885,Z2
-33.44446144,-70.63166013,209.5466,0.7471,Z4
-33.43304606,-70.72451935,15.9004,0.6548,Z5
-33.43237134,-70.58877389,37.4723,0.7815,Z1
-33.51531129,-70.78470125,250.5222,0.765,Z3
-33.44384239,-70.75892825,29.7474,0.7747,Z5
-33.53608553,-70.77846167,80.4913,0.7629,Z3
-33.49678533,-70.75879554,15.5874,0.7315,Z3
-33.42185882,-70.60108056,90.4018,0.8032,Z1
-33.49744732,-70.74299006,94.1276,0.9101,Z3
-33.43152243,-70.7203286,4.1245,0.7298,Z5
-33.45331762,-70.65396229,454.8307,0.8425,Z4
-33.51043015,-70.79599931,44.61,0.7199,Z3
-33.41711641,-70.53828201,26.9307,0.7857,Z2
-33.43545612,-70.67347806,20.0075,0.7215,Z4
-33.50718761,-70.74056537,45.3495,0.7199,Z3
-33.44083392,-70.75804623,46.108,0.7521,Z5
-33.49787706,-70.76708832,78.4242,0.7497,Z3
-33.42833105,-70.74156075,46.3948,0.6653,Z5
-33.43742272,-70.76983125,14.4103,0.7446,Z5
-33.50622838,-70.79740605,65.477,0.8291,Z3
-33.42414476,-70.56761543,124.1139,0.8694,Z2
-33.46489891,-70.75367865,139.6553,0.7835,Z5
-33.51147802,-70.76058413,11.3238,0.7248,Z3
-33.43853936,-70.75154619,22.3664,0.7366,Z5
-33.45989015,-70.67433351,321.4632,0.9024,Z4
-33.41509317,-70.53652451,60.3385,0.7595,Z2
-33.45269418,-70.63871773,165.2659,0.8397,Z4
-33.52499962,-70.75574559,21.4821,0.7876,Z3
-33.43372249,-70.63478294,200.6734,0.8309,Z4
-33.53633321,-70.7803806,74.4097,0.8538,Z3
-33.46960284,-70.74385852,113.7194,0.8054,Z5
-33.50508224,-70.78252379,110.1346,0.8522,Z3
-33.52854515,-70.7564138,42.7773,0.7541,Z3
-33.42712723,-70.53977827,141.6225,0.842,Z2
-33.42533964,-70.5746883,91.6798,0.7153,Z2
-33.50310296,-70.74549174,33.0055,0.7729,Z3
-33.54030103,-70.75975076,26.6983,0.6752,Z3
-33.428241,-70.58652898,186.8591,0.8498,Z1
-33.45530736,-70.63069236,93.3143,0.8626,Z4
-33.51279857,-70.78235153,403.4093,0.8275,Z3
-33.4505816,-70.63440232,57.7881,0.7062,Z4
-33.46977931,-70.74104328,89.9312,0.8633,Z5
-33.44450379,-70.66450731,517.6605,0.8779,Z4
-33.43047485,-70.73366098,112.4078,0.8446,Z5
-33.41945437,-70.61859648,586.9881,0.9185,Z1
-33.51012517,-70.79491023,21.1095,0.802,Z3
-33.42694233,-70.74391122,40.4975,0.8744,Z5
-33.43842756,-70.67233493,81.4879,0.6917,Z4
-33.4353698,-70.73726707,32.2912,0.6959,Z5
-33.4505497,-70.76444376,228.5404,0.8053,Z5
-33.42758745,-70.5639695,250.4736,0.9017,Z2
-33.47761702,-70.7607878,18.1954,0.6808,Z5
-33.43204015,-70.58144399,146.5011,0.7806,Z1
-33.43490716,-70.75182085,31.0764,0.758,Z5
-33.46492809,-70.6371783,40.946,0.7319,Z4
-33.47311389,-70.72910295,65.2214,0.8171,Z5
-33.43789357,-70.74534042,72.6625,0.8243,Z5
-33.49860292,-70.74302053,75.7653,0.8229,Z3
-33.42010045,-70.60560828,107.6479,0.6585,Z1
-33.41939839,-70.53685868,34.9344,0.6967,Z2
-33.47370348,-70.72690506,105.6326,0.7407,Z5
-33.40905158,-70.54500702,184.5439,0.9122,Z2
-33.43453801,-70.76418523,26.8882,0.7508,Z5
-33.5218937,-70.76648831,156.4751,0.8177,Z3
-33.44007388,-70.58458744,77.0563,0.7734,Z1
-33.52078486,-70.78060606,141.9272,0.8837,Z3
-33.4055716,-70.50932726,39.4956,0.743,Z2
-33.39478697,-70.55120274,96.7999,0.8557,Z2
-33.44621957,-70.6527854,179.1791,0.8021,Z4
-33.43632484,-70.64244092,291.1356,0.8649,Z4
-33.4977909,-70.74324568,70.9189,0.7779,Z3
-33.44687282,-70.73621223,60.7849,0.8029,Z5
-33.5279794,-70.79573875,57.3769,0.8559,Z3
-33.42517685,-70.74342218,53.835,0.8489,Z5
-33.45504616,-70.76125134,40.4191,0.7941,Z5
-33.53161804,-70.78864032,55.7413,0.8518,Z3
-33.50099509,-70.78668989,12.4681,0.7033,Z3
-33.46218662,-70.65097444,16.1016,0.7751,Z4
-33.45140603,-70.6342599,518.7934,0.8851,Z4
-33.53064632,-70.78357553,74.3199,0.7323,Z3
-33.43068195,-70.74040786,21.3123,0.6565,Z5
-33.465722,-70.63514316,51.8777,0.8054,Z4
-33.46721723,-70.73643137,26.7186,0.6791,Z5
-33.45020077,-70.78317812,2213.435,0.9448,Z5
-33.50732963,-70.77722954,7.3941,0.6711,Z3
-33.39646555,-70.5603933,71.6311,0.7087,Z2
-33.48382946,-70.74502692,108.307,0.7703,Z3
-33.52321335,-70.79673393,14.4618,0.7004,Z3
-33.39167654,-70.57718107,159.3947,0.8771,Z2
-33.44264261,-70.65605351,17.9321,0.6582,Z4
-33.44195853,-70.5923958,58.7651,0.7654,Z1
-33.45153785,-70.65000953,20.7499,0.6543,Z4
-33.52314171,-70.80395998,32.3571,0.6518,Z3
-33.52860904,-70.79838578,22.7209,0.7302,Z3
-33.4507279,-70.72584126,79.5117,0.7118,Z5
-33.43500009,-70.67907566,160.1889,0.8284,Z4
-33.50523239,-70.77277962,28.6362,0.7193,Z3
-33.4421303,-70.58852864,18.3911,0.6625,Z1
-33.50311181,-70.78784001,100.4384,0.8994,Z3
-33.52325957,-70.77499869,11.129,0.8198,Z3
-33.42948408,-70.72952332,142.4968,0.8172,Z5
-33.44667025,-70.73346283,70.9715,0.8195,Z5
-33.43555851,-70.72287465,88.2131,0.82,Z5
-33.43231887,-70.67068235,84.8607,0.7504,Z4
-33.43637156,-70.76732113,138.4899,0.8988,Z5
-33.53594936,-70.78700321,39.2659,0.8495,Z3
-33.50946425,-70.77946182,100.3022,0.8515,Z3
-33.51535487,-70.7460792,117.7423,0.7975,Z3
-33.44648259,-70.59730554,97.4196,0.83,Z1
-33.45620858,-70.66346643,95.8566,0.8306,Z4
-33.42111772,-70.55554574,88.4151,0.8123,Z2
-33.45259725,-70.75622145,18.6175,0.6615,Z5
-33.39377112,-70.5461958,7.7201,0.6651,Z2
-33.39143731,-70.56284397,8.2192,0.7147,Z2
-33.53533037,-70.77724545,126.0193,0.878,Z3
-33.42205682,-70.54462512,197.6065,0.8126,Z2
-33.42090922,-70.73395232,89.1098,0.8428,Z5
-33.43863091,-70.73042386,104.7974,0.8768,Z5
-33.40265647,-70.55748889,98.1887,0.7285,Z2
-33.50444059,-70.77320264,12.2965,0.6728,Z3
-33.42898695,-70.777751,128.4519,0.8605,Z5
-33.40349161,-70.5151964,163.2262,0.8275,Z2
-33.42033235,-70.57282602,9.2621,0.6889,Z2
-33.50476093,-70.79429989,14.2367,0.7703,Z3
-33.4709388,-70.74160692,117.7788,0.7731,Z5
-33.43515473,-70.67170587,546.7712,0.9232,Z4
-33.3953464,-70.55518486,45.4895,0.7448,Z2
-33.42884323,-70.79890304,10.7992,0.7157,Z5
-33.40467368,-70.57426475,1777.6551,0.8593,Z2
-33.42042612,-70.7372002,97.9493,0.7611,Z5
-33.49997732,-70.76185906,135.41,0.6864,Z3
-33.41686944,-70.55032467,100.1282,0.8727,Z2
-33.51549341,-70.75863442,51.7393,0.7847,Z3
-33.50137423,-70.79146622,11.829,0.6908,Z3
-33.42067263,-70.75846868,56.338,0.776,Z5
-33.4417112,-70.59389452,91.0998,0.8607,Z1
-33.4004544,-70.51484,167.2349,0.8095,Z2
-33.51350906,-70.78125831,13.1939,0.8114,Z3
-33.515741,-70.78128947,263.276,0.7912,Z3
-33.42285288,-70.72231304,39.2532,0.8204,Z5
-33.53417749,-70.78131611,68.7115,0.8273,Z3
-33.48455495,-70.76238413,45.1935,0.8121,Z3
-33.53206196,-70.78903904,140.7448,0.8073,Z3
-33.45616516,-70.75971822,11.6369,0.6964,Z5
-33.45541577,-70.6477359,37.5014,0.7362,Z4
-33.48786345,-70.76766535,20.9152,0.7684,Z3
-33.52596504,-70.79311572,106.5078,0.7982,Z3
-33.42679366,-70.55910853,10.5073,0.6609,Z2
-33.43868584,-70.72644942,98.4395,0.7948,Z5
-33.51308748,-70.78744528,30.1538,0.7211,Z3
-33.50675777,-70.77412497,7.5968,0.6907,Z3
-33.43377068,-70.77350607,14.102,0.662,Z5
-33.43712604,-70.64580873,59.1639,0.7011,Z4
-33.41747988,-70.57757073,45.0066,0.7083,Z2
-33.44296404,-70.67521166,862.823,0.9433,Z4
-33.41967857,-70.54178501,23.2256,0.663,Z2
-33.39475646,-70.51707131,31.027,0.7897,Z2
-33.43687991,-70.63299757,1364.9715,0.8836,Z4
-33.5079371,-70.75003567,8.1218,0.7305,Z3
-33.44495295,-70.61404627,57.957,0.7806,Z1
-33.51736569,-70.79182346,15.7988,0.6897,Z3
-33.43440329,-70.76049452,190.7224,0.7904,Z5
-33.44277956,-70.60407422,588.1774,0.9393,Z1
-33.43915542,-70.6006866,39.9724,0.6749,Z1
-33.40543308,-70.52689657,11.7592,0.7748,Z2
-33.43523845,-70.75417046,27.8557,0.6752,Z5
-33.43139275,-70.76512741,123.7934,0.7808,Z5
-33.52129458,-70.76370843,215.9343,0.7889,Z3
-33.50403611,-70.80797962,7.9336,0.7011,Z3
-33.50141645,-70.76072762,16.0819,0.8009,Z3
-33.46400608,-70.67298873,54.5401,0.7602,Z4
-33.53335491,-70.79088303,79.9324,0.8212,Z3
-33.49886395,-70.75099065,172.9141,0.8126,Z3
-33.51991967,-70.76904819,34.163,0.7005,Z3
-33.49846319,-70.77459075,28.8458,0.6606,Z3
-33.44795288,-70.60452827,24.3024,0.7039,Z1
-33.53731654,-70.79068464,66.5166,0.7659,Z3
-33.42307991,-70.74784696,17.569,0.8564,Z5
-33.43916863,-70.73274601,87.4796,0.9054,Z5
-33.53385796,-70.77400552,8.5764,0.6615,Z3
-33.45126942,-70.67062622,129.7041,0.862,Z4
-33.40937185,-70.54452797,74.6259,0.8748,Z2
-33.51037477,-70.76220783,40.6089,0.7049,Z3
-33.43515626,-70.74947493,18.8233,0.7032,Z5
-33.52258931,-70.78277792,7.2126,0.663,Z3
-33.45065635,-70.76041724,31.9086,0.6811,Z5
-33.51992502,-70.78487541,24.6157,0.7122,Z3
-33.41739187,-70.61170139,176.5675,0.8574,Z1
-33.53157203,-70.77243135,10.4135,0.6719,Z3
-33.45307997,-70.75576819,37.9864,0.7495,Z5
-33.53984176,-70.78095159,65.5913,0.7498,Z3
-33.51609397,-70.76275491,43.0928,0.7271,Z3
-33.40919171,-70.5396537,58.2834,0.8029,Z2
-33.46960437,-70.72228751,79.5453,0.8518,Z5
-33.54080993,-70.78333876,29.4799,0.7491,Z3
-33.50000177,-70.77375082,46.3729,0.7412,Z3
-33.52482433,-70.76646808,60.055,0.8577,Z3
-33.46500598,-70.6554481,11.5999,0.7537,Z4
-33.45417942,-70.64595895,151.7733,0.8177,Z4
-33.46898698,-70.75283558,146.6973,0.8424,Z5
-33.40027058,-70.52090661,32.9914,0.7761,Z2
-33.49938194,-70.77402915,38.8044,0.8315,Z3
-33.49619452,-70.74470493,104.202,0.7801,Z3
-33.49698057,-70.76464157,32.8428,0.7277,Z3
-33.46782789,-70.63574973,19.4826,0.6859,Z4
-33.42713226,-70.76212455,19.884,0.7505,Z5
-33.47378676,-70.74783073,84.8139,0.8134,Z5
-33.46510592,-70.63505268,63.4418,0.8418,Z4
-33.53815018,-70.7691022,147.995,0.8992,Z3
-33.42635732,-70.5437035,449.968,0.9178,Z2
-33.42375248,-70.75329585,104.5528,0.815,Z5
-33.45421759,-70.76499072,73.1841,0.8382,Z5
-33.53425387,-70.78262463,31.0455,0.6973,Z3
-33.45202405,-70.6396913,511.0025,0.6969,Z4
-33.43366624,-70.74997261,137.912,0.8514,Z5
-33.49216506,-70.7605467,22.2431,0.6935,Z3
-33.44582427,-70.64023762,146.3652,0.7636,Z4
-33.51480398,-70.74329469,96.9653,0.702,Z3
-33.43827929,-70.73728806,50.4273,0.6885,Z5
-33.42610014,-70.74102109,185.53,0.8303,Z5
-33.51643532,-70.78902283,6.9744,0.696,Z3
-33.51947061,-70.78492223,28.7702,0.661,Z3
-33.50754098,-70.79415704,9.271,0.6541,Z3
-33.43808912,-70.72581732,22.339,0.7306,Z5
-33.48684101,-70.77627593,62.3508,0.8666,Z3
-33.41676637,-70.57052523,92.0024,0.8232,Z2
-33.42446479,-70.7267333,100.3466,0.8411,Z5
-33.51369053,-70.78277759,106.7212,0.7708,Z3
-33.42946798,-70.59074773,86.1532,0.8168,Z1
-33.41985761,-70.57239293,23.2011,0.7157,Z2
-33.49733054,-70.77326033,213.793,0.8574,Z3
-33.45523116,-70.75691705,52.0652,0.8403,Z5
-33.51729574,-70.78333489,39.3714,0.7844,Z3
-33.43917403,-70.72958139,39.8024,0.7516,Z5
-33.44386672,-70.73621124,50.6443,0.8728,Z5
-33.53823809,-70.79145291,8.8212,0.687,Z3
-33.4022051,-70.56672367,324.9711,0.9143,Z2
-33.41233007,-70.5461832,35.7533,0.6849,Z2
-33.49472315,-70.75246871,10.9563,0.6537,Z3
-33.51906079,-70.77509618,142.6005,0.7822,Z3
-33.49749228,-70.7717332,113.883,0.8456,Z3
-33.45916787,-70.67377957,127.1544,0.8001,Z4
-33.51448127,-70.7841278,367.7596,0.8214,Z3
-33.5201844,-70.7542674,245.9158,0.8251,Z3
-33.43059255,-70.75973064,141.26,0.7545,Z5
-33.44647508,-70.73229191,103.1649,0.7937,Z5
-33.39111826,-70.50809228,91.3014,0.7635,Z2
-33.50364355,-70.740503,92.2299,0.8771,Z3
-33.50709389,-70.74327319,36.2076,0.6818,Z3
-33.43284385,-70.72112882,20.9151,0.6643,Z5
-33.4204763,-70.75732849,114.035,0.8306,Z5
-33.44122114,-70.5904064,192.9586,0.9032,Z1
-33.4778593,-70.72429222,50.223,0.8509,Z5
-33.42102615,-70.60293941,87.5425,0.6689,Z1
-33.48022518,-70.74928334,17.2678,0.782,Z3
-33.45787203,-70.74239373,182.263,0.8594,Z5
-33.44115388,-70.77189799,66.9411,0.9001,Z5
-33.43188635,-70.64449632,216.5893,0.8243,Z4
-33.53539594,-70.79627831,58.9125,0.8706,Z3
-33.42465989,-70.61336047,35.3466,0.6729,Z1
-33.46151567,-70.65556583,15.7211,0.7598,Z4
-33.4340424,-70.65501139,119.6995,0.8594,Z4
-33.42977118,-70.55209098,11.3927,0.6565,Z2
-33.44906947,-70.72912849,51.6527,0.772,Z5
-33.44060444,-70.75564311,74.5246,0.7112,Z5
-33.46610458,-70.76570491,26.7221,0.8484,Z5
-33.4902576,-70.7438968,140.3797,0.8116,Z3
-33.53768569,-70.77461255,26.3069,0.7,Z3
-33.45873258,-70.75401606,13.4379,0.7032,Z5
-33.43869222,-70.77265391,133.8269,0.8365,Z5
-33.46914457,-70.75272232,152.4565,0.8561,Z5
-33.49991454,-70.76825713,34.7873,0.7505,Z3
-33.50154889,-70.78609972,120.4288,0.8871,Z3
-33.44207887,-70.79118634,48.3451,0.8322,Z5
-33.51762036,-70.78278666,20.9457,0.7717,Z3
-33.4647375,-70.73172289,98.0601,0.7951,Z5
-33.50966483,-70.79646543,7.9009,0.664,Z3
-33.51942089,-70.7748722,143.5226,0.8283,Z3
-33.54706275,-70.78808639,60.3576,0.8598,Z3
-33.50835556,-70.78889605,129.0077,0.7344,Z3
-33.41710342,-70.53601663,66.1915,0.8679,Z2
-33.49640969,-70.74530865,73.3089,0.693,Z3
-33.53546893,-70.77902548,59.4953,0.8591,Z3
-33.4302141,-70.58015542,86.6299,0.7253,Z1
-33.43014144,-70.67782547,43.3231,0.6725,Z4
-33.51480565,-70.78570197,103.4007,0.7543,Z3
-33.42306139,-70.53463575,11.4364,0.7771,Z2
-33.49141163,-70.78066384,43.5956,0.7116,Z3
-33.429267,-70.58368823,83.4114,0.8719,Z1
-33.44867593,-70.64148022,448.0991,0.7748,Z4
-33.45540441,-70.63682323,140.2457,0.7967,Z4
-33.51097791,-70.78374389,13.824,0.6776,Z3
-33.43302149,-70.77314428,11.1297,0.6589,Z5
-33.39430276,-70.51189647,8.9195,0.673,Z2
-33.43275888,-70.61874208,214.0222,0.9223,Z1
-33.43307,-70.72363955,40.5725,0.8152,Z5
-33.48607477,-70.7850408,43.6867,0.7444,Z3
-33.42885791,-70.72870326,49.2578,0.8192,Z5
-33.45340586,-70.73265553,75.1317,0.7932,Z5
-33.48445404,-70.75893664,150.0876,0.8965,Z3
-33.41390317,-70.54832226,185.544,0.8561,Z2
-33.4385879,-70.73120683,15.7678,0.6501,Z5
-33.54252124,-70.77627845,67.9984,0.8704,Z3
-33.42310155,-70.74506666,19.4671,0.6938,Z5
-33.46524519,-70.67423457,32.519,0.7415,Z4
-33.54549657,-70.76711644,79.4756,0.7952,Z3
-33.474382,-70.73061811,88.7529,0.7385,Z5
-33.50631968,-70.76289459,94.194,0.7901,Z3
-33.52801155,-70.79046972,59.116,0.8364,Z3
-33.4272286,-70.75380745,17.8491,0.7096,Z5
-33.43828954,-70.74426857,90.0868,0.8075,Z5
-33.41357885,-70.552343,45.3899,0.8384,Z2
-33.44471108,-70.60183733,350.8391,0.8407,Z1
-33.47728597,-70.73980096,20.8044,0.6568,Z5
-33.4291921,-70.76397564,68.6004,0.8083,Z5
-33.45074257,-70.73320583,24.5537,0.677,Z5
-33.50221114,-70.78152211,10.7431,0.706,Z3
-33.50364708,-70.79232079,21.0255,0.6953,Z3
-33.47619549,-70.72778699,59.9959,0.8359,Z5
-33.43344538,-70.66976322,26.5563,0.7551,Z4
-33.39856382,-70.56418528,8.0536,0.6666,Z2
-33.42114359,-70.75160702,55.2927,0.8756,Z5
-33.51577648,-70.78377325,203.5946,0.7583,Z3
-33.42419911,-70.53529408,125.156,0.8368,Z2
-33.42731224,-70.576625,277.5761,0.8751,Z2
-33.3920332,-70.5393482,219.2805,0.8065,Z2
-33.5402583,-70.77463881,20.5236,0.7528,Z3
-33.42237696,-70.74830569,118.7821,0.6977,Z5
-33.41977051,-70.59513992,2537.974,0.8599,Z1
-33.52582975,-70.77179621,91.991,0.905,Z3
-33.44627865,-70.60986963,20.0597,0.7163,Z1
-33.4158734,-70.5819054,20.1639,0.7184,Z1
-33.42673805,-70.7457442,38.3086,0.6612,Z5
-33.43744555,-70.6568739,316.6927,0.7758,Z4
-33.39609236,-70.57199839,67.6908,0.6502,Z2
-33.46798919,-70.74514582,239.2177,0.7822,Z5
-33.46938039,-70.72839221,19.7285,0.7807,Z5
-33.4126773,-70.51813717,39.5512,0.8259,Z2
-33.45862833,-70.7245282,15.714,0.6888,Z5
-33.46627465,-70.73862357,184.521,0.8368,Z5
-33.5321418,-70.79557541,35.1765,0.7001,Z3
-33.4416494,-70.78691061,31.8422,0.7164,Z5
-33.51856587,-70.79755014,54.3995,0.686,Z3
-33.43011503,-70.66798733,51.2945,0.7091,Z4
-33.53352892,-70.79221515,125.4704,0.8288,Z3
-33.43597429,-70.76774241,52.1111,0.7547,Z5
-33.4299571,-70.56964694,10.3379,0.6606,Z2
-33.40384898,-70.51561771,52.536,0.751,Z2
-33.52599726,-70.78340663,175.2874,0.8288,Z3
-33.43231202,-70.58861504,22.571,0.6524,Z1
-33.44278148,-70.74220933,57.9384,0.6664,Z5
-33.43656542,-70.74566823,20.7924,0.7105,Z5
-33.43896395,-70.67554656,255.3547,0.8678,Z4
-33.51192386,-70.77148017,8.033,0.6615,Z3
-33.49745391,-70.74601279,94.8244,0.7771,Z3
-33.50865935,-70.78034795,27.7331,0.7371,Z3
-33.47903779,-70.76025795,9.8337,0.6611,Z5
-33.47452582,-70.72121234,16.3006,0.778,Z5
-33.44539496,-70.76736526,95.673,0.7377,Z5
-33.40559112,-70.54920632,128.912,0.7757,Z2
-33.46957488,-70.74545114,523.3784,0.8376,Z5
-33.47188591,-70.74303187,134.7669,0.7779,Z5
-33.45916535,-70.67902814,24.4032,0.7111,Z4
-33.52471945,-70.77731738,25.2234,0.6692,Z3
-33.53739466,-70.78822752,57.4393,0.8255,Z3
-33.53445896,-70.76983073,64.2093,0.8405,Z3
-33.52751649,-70.79266207,24.2129,0.7864,Z3
-33.42363374,-70.56722366,121.1026,0.8097,Z2
-33.43584757,-70.75371607,80.4931,0.86,Z5
-33.45919594,-70.7659785,27.9328,0.6944,Z5
-33.43535263,-70.6745455,205.9966,0.8725,Z4
-33.54925156,-70.79676089,40.5856,0.6613,Z3
-33.4807862,-70.74897609,81.485,0.7451,Z3
-33.42821339,-70.56344771,286.251,0.8447,Z2
-33.43644185,-70.75628921,97.004,0.7691,Z5
-33.42930411,-70.75239375,22.4807,0.7882,Z5
-33.49834292,-70.74562119,103.877,0.8247,Z3
-33.45565186,-70.64134924,236.681,0.8798,Z4
-33.50681942,-70.79075684,31.2732,0.7537,Z3
-33.51292816,-70.76537943,96.2114,0.8826,Z3
-33.4337763,-70.66742196,162.3806,0.9035,Z4
-33.43257098,-70.75276033,39.5489,0.6866,Z5
-33.43858253,-70.74531591,43.8272,0.7106,Z5
-33.49318224,-70.74670036,8.0461,0.6985,Z3
-33.53550133,-70.74249531,15.2147,0.7569,Z3
-33.43181595,-70.72002223,54.2751,0.8147,Z5
-33.46775844,-70.76142973,3.3467,0.6556,Z5
-33.5409133,-70.78881622,103.3819,0.7554,Z3
-33.44601379,-70.72676994,42.6051,0.6847,Z5
-33.44970999,-70.59292286,48.3223,0.754,Z1
-33.43689852,-70.72603803,70.8124,0.8197,Z5
-33.50528178,-70.7523989,28.0107,0.7788,Z3
-33.54581385,-70.79150032,9.3252,0.6682,Z3
-33.46992787,-70.75961649,52.5558,0.8003,Z5
-33.52882115,-70.79722865,89.1531,0.7478,Z3
-33.54624365,-70.77535821,68.5758,0.8499,Z3
-33.46164917,-70.75455643,65.6861,0.835,Z5
-33.44357466,-70.61537972,17.5443,0.7727,Z1
-33.51015487,-70.78890339,23.272,0.7167,Z3
-33.51621026,-70.7735539,19.6829,0.7369,Z3
-33.54718584,-70.76243875,85.5821,0.8893,Z3
-33.43109538,-70.64491094,945.3562,0.8593,Z4
-33.42743193,-70.53978483,14.3973,0.7423,Z2
-33.41331231,-70.55427488,172.0668,0.8381,Z2
-33.42992996,-70.5668396,23.1622,0.7315,Z2
-33.44293071,-70.76016207,135.063,0.8229,Z5
-33.45641379,-70.65062412,647.6638,0.9278,Z4
-33.52083588,-70.77516753,7.0846,0.6865,Z3
-33.43734407,-70.7379658,165.4815,0.8208,Z5
-33.46415217,-70.74616111,50.8715,0.8051,Z5
-33.50336298,-70.79672664,219.5095,0.7599,Z3
-33.44783507,-70.74707,35.8355,0.6579,Z5
-33.5217563,-70.76053436,73.0106,0.7407,Z3
-33.42849008,-70.75266827,53.0095,0.6895,Z5
-33.48434601,-70.7955069,126.6186,0.7732,Z3
-33.40910323,-70.52071608,25.9499,0.7147,Z2
-33.39322048,-70.572629,64.0682,0.6856,Z2
